Date, Open, High, Low, Close
6/29/2020,1383.04,1427.09,1381.04,1421.21
6/26/2020,1411.37,1411.37,1375.59,1378.78
6/25/2020,1388.41,1413.71,1375.37,1413.32
6/24/2020,1437.2,1437.2,1374.4,1389.74
6/23/2020,1436.46,1454.12,1436.46,1439.34
6/22/2020,1417.67,1433.53,1400.98,1433.53
6/19/2020,1430.65,1443.8,1409.47,1418.63
6/18/2020,1424.72,1439.74,1412.27,1427.08
6/17/2020,1453.33,1456.77,1424.6,1426.53
6/16/2020,1432.35,1473.74,1427.84,1452.26
6/15/2020,1381.41,1425.84,1343.6,1419.61
6/12/2020,1366.96,1412.91,1349.39,1387.68
6/11/2020,1458.34,1458.34,1355.32,1356.22
6/10/2020,1506.94,1506.94,1465.94,1467.39
6/9/2020,1533.03,1533.03,1496.68,1507.05
6/8/2020,1510.59,1537.62,1510.59,1536.89
6/5/2020,1460.18,1525.56,1460.18,1507.15
6/4/2020,1450.16,1460.09,1439.11,1452.06
6/3/2020,1425.37,1463.55,1425.37,1452.09
6/2/2020,1409.16,1421.12,1403.69,1418.21
6/1/2020,1396.29,1419.94,1395.51,1405.37
5/29/2020,1399.05,1399.05,1372.71,1394.04
5/28/2020,1437.84,1450.37,1396.95,1400.67
5/27/2020,1398.5,1438.96,1382.03,1436.36
5/26/2020,1361.16,1406.77,1361.16,1393.07
5/25/2020,1353.77,1353.77,1351.62,1351.62
5/22/2020,1349.4,1355.77,1338.13,1355.53
5/21/2020,1345.72,1354.65,1333.99,1347.56
5/20/2020,1322.78,1353.38,1322.78,1346.93
5/19/2020,1330.27,1339.12,1307.27,1307.72
5/18/2020,1290.9,1338.35,1290.9,1333.69
5/15/2020,1236.25,1259.28,1225.55,1256.99
5/14/2020,1226.66,1237.56,1181.1,1237.55
5/13/2020,1272.9,1272.9,1212.75,1233.25
5/12/2020,1322.67,1326.89,1275.54,1275.54
5/11/2020,1320.37,1333.85,1303.53,1321.24
5/8/2020,1294.28,1330.11,1294.28,1329.64
5/7/2020,1268.35,1290.92,1268.35,1282.93
5/6/2020,1278.9,1284.92,1262.56,1263.01
5/5/2020,1271.22,1302.45,1269.99,1273.51
5/4/2020,1254.88,1263.97,1234.01,1263.97
5/1/2020,1280.58,1281.09,1241.91,1260.48
4/30/2020,1354.8,1354.8,1310.45,1310.66
4/29/2020,1314.04,1373.39,1314.04,1360.76
4/28/2020,1301.22,1316.71,1282.77,1298.08
4/27/2020,1243.47,1289.18,1243.47,1281.88
4/24/2020,1216.68,1238.31,1210.62,1233.05
4/23/2020,1203.66,1232.59,1203.66,1214.07
4/22/2020,1203.02,1213.34,1196.54,1201.52
4/21/2020,1192.22,1195.88,1173.91,1185.09
4/20/2020,1220.63,1233.86,1202.21,1213.35
4/17/2020,1191.86,1231.93,1191.85,1229.1
4/16/2020,1185.1,1187.84,1154.52,1178.09
4/15/2020,1221.71,1221.71,1176.03,1183.98
4/14/2020,1232.32,1251.88,1224.15,1237.33
4/13/2020,1240.91,1240.93,1200.92,1212.04
4/9/2020,1212.66,1250.13,1212.66,1246.73
4/8/2020,1151.01,1197.17,1147.26,1191.66
4/7/2020,1158.17,1190.98,1133.55,1139.17
4/6/2020,1085.88,1139.93,1085.88,1138.78
4/3/2020,1082.9,1082.9,1035.39,1052.05
4/2/2020,1071.46,1102.36,1055.6,1085.81
4/1/2020,1127.73,1127.73,1064.6,1071.99
3/31/2020,1155.68,1164.63,1130.35,1153.1
3/30/2020,1134.14,1158.64,1119.95,1158.32
3/27/2020,1163.92,1163.92,1125.68,1131.99
3/26/2020,1116.31,1180.32,1116.31,1180.32
3/25/2020,1100.14,1146.81,1075.85,1110.37
3/24/2020,1041.07,1096.54,1041.07,1096.54
3/23/2020,1014.08,1017.89,966.42,1002.4
3/20/2020,1064.72,1087.72,1009.53,1013.89
3/19/2020,988.71,1069.15,968.86,1058.75
3/18/2020,1057.65,1062.88,966.22,991.16
3/17/2020,1043.87,1106.68,1011.96,1106.51
3/16/2020,1174.97,1209.45,1035.19,1037.42
3/13/2020,1153.76,1210.13,1109.39,1210.13
3/12/2020,1253.87,1253.87,1121.72,1122.93
3/11/2020,1349.24,1349.24,1249.28,1264.3
3/10/2020,1329.88,1351.48,1288.93,1350.9
3/9/2020,1396.24,1396.24,1310.76,1313.44
3/6/2020,1476.63,1476.63,1417.27,1449.22
3/5/2020,1522.85,1522.85,1462.92,1478.82
3/4/2020,1500.15,1531.2,1494.58,1531.2
3/3/2020,1518.52,1539.74,1472.74,1486.08
3/2/2020,1476.6,1518.53,1463.06,1518.49
2/28/2020,1496.83,1496.83,1448.21,1476.43
2/27/2020,1545.25,1553.97,1495.89,1497.87
2/26/2020,1572.27,1588.32,1551.39,1552.76
2/25/2020,1630.87,1633.11,1568.97,1571.9
2/24/2020,1676.65,1676.65,1620.14,1628.1
2/21/2020,1694.73,1694.73,1673.2,1678.61
2/20/2020,1689.42,1698.91,1677.62,1696.07
2/19/2020,1685.33,1698.16,1685.33,1692.57
2/18/2020,1686.03,1687.38,1674.6,1683.52
2/17/2020,1687.72,1693.82,1687.37,1689.89
2/14/2020,1694.87,1695.17,1683.47,1687.58
2/13/2020,1684.58,1696.54,1680.38,1693.74
2/12/2020,1684.39,1690.06,1683.02,1689.38
2/11/2020,1654.92,1686.01,1653.67,1677.52
2/10/2020,1654.92,1667.7,1653.67,1667.67
2/7/2020,1673.53,1673.53,1654.31,1656.78
2/6/2020,1685.44,1689.17,1677.29,1677.46
2/5/2020,1644.42,1682.96,1644.42,1681.92
2/4/2020,1644.42,1661,1644.42,1656.77
2/3/2020,1618.8,1636.88,1618.8,1632.2
1/31/2020,1643.69,1643.69,1610.64,1614.06
1/30/2020,1641.47,1648.43,1630.94,1648.22
1/29/2020,1661.08,1663.77,1649,1649.22
1/28/2020,1651.13,1661.19,1651.13,1658.31
1/27/2020,1660.82,1660.82,1632.26,1644.14
1/24/2020,1687.81,1689.15,1653.19,1662.23
1/23/2020,1680.54,1687.85,1666.47,1685.01
1/22/2020,1691.07,1694.37,1682.94,1684.46
1/21/2020,1695.45,1695.45,1684.26,1685.9
1/20/2020,1697.1,1701.29,1694.01,1700.64
1/17/2020,1712.93,1715.08,1697.69,1699.64
1/16/2020,1691.82,1706.17,1691.82,1705.21
1/15/2020,1673.69,1688.12,1673.4,1682.4
1/14/2020,1668.39,1684.34,1662.86,1675.74
1/13/2020,1658.98,1669.61,1652.32,1669.61
1/10/2020,1665.47,1666.75,1654.01,1657.64
1/9/2020,1669.86,1671.82,1663.78,1664.99
1/8/2020,1658.47,1669.29,1658.23,1663.59
1/7/2020,1659.73,1662.1,1653.33,1658.31
1/6/2020,1650.66,1664.85,1645.51,1663.26
1/3/2020,1675.9,1678.14,1648.54,1660.87
1/2/2020,1675.9,1678.14,1653.52,1666.77
