Date,Open,High,Low,Close,Range,bodyRange,bodyColor
05/14/20,1226.66,1237.56,1181.10,1237.55,56.46,10.89,GREEN
05/13/20,1272.90,1272.90,1212.75,1233.25,60.15,-39.65,RED
05/12/2020,1322.67,1326.89,1275.54,1275.54,51.35,-47.13,RED
05/11/2020,1320.37,1333.85,1303.53,1321.24,30.32,0.87,GREEN
05/08/2020,1294.28,1330.11,1294.28,1329.64,35.83,35.36,GREEN
05/07/2020,1268.35,1290.92,1268.35,1282.93,22.57,14.58,GREEN
05/06/2020,1278.90,1284.92,1262.56,1263.01,22.36,-15.89,RED
05/05/2020,1271.22,1302.45,1269.99,1273.51,32.46,2.29,GREEN
05/04/2020,1254.88,1263.97,1234.01,1263.97,29.96,9.09,GREEN
05/01/2020,1280.58,1281.09,1241.91,1260.48,39.18,-20.10,RED
04/30/20,1354.80,1354.80,1310.45,1310.66,44.35,-44.14,RED
04/29/20,1314.04,1373.39,1314.04,1360.76,59.35,46.72,GREEN
04/28/20,1301.22,1316.71,1282.77,1298.08,33.94,-3.14,RED
04/27/20,1243.47,1289.18,1243.47,1281.88,45.71,38.41,GREEN
04/24/20,1216.68,1238.31,1210.62,1233.05,27.69,16.37,GREEN
04/23/20,1203.66,1232.59,1203.66,1214.07,28.93,10.41,GREEN
04/22/20,1203.02,1213.34,1196.54,1201.52,16.80,-1.50,RED
04/21/20,1192.22,1195.88,1173.91,1185.09,21.97,-7.13,RED
04/20/20,1220.63,1233.86,1202.21,1213.35,31.65,-7.28,RED
04/17/20,1191.86,1231.93,1191.85,1229.10,40.08,37.24,GREEN
04/16/20,1185.10,1187.84,1154.52,1178.09,33.32,-7.01,RED
04/15/20,1221.71,1221.71,1176.03,1183.98,45.68,-37.73,RED
04/14/20,1232.32,1251.88,1224.15,1237.33,27.73,5.01,GREEN
04/13/20,1240.91,1240.93,1200.92,1212.04,40.01,-28.87,RED
04/09/2020,1212.66,1250.13,1212.66,1246.73,37.47,34.07,GREEN
04/08/2020,1151.01,1197.17,1147.26,1191.66,49.91,40.65,GREEN
04/07/2020,1158.17,1190.98,1133.55,1139.17,57.43,-19.00,RED
04/06/2020,1085.88,1139.93,1085.88,1138.78,54.05,52.90,GREEN
04/03/2020,1082.90,1082.90,1035.39,1052.05,47.51,-30.85,RED
04/02/2020,1071.46,1102.36,1055.60,1085.81,46.76,14.35,GREEN
04/01/2020,1127.73,1127.73,1064.60,1071.99,63.13,-55.74,RED
03/31/20,1155.68,1164.63,1130.35,1153.10,34.28,-2.58,RED
03/30/20,1134.14,1158.64,1119.95,1158.32,38.69,24.18,GREEN
03/27/20,1163.92,1163.92,1125.68,1131.99,38.24,-31.93,RED
03/26/20,1116.31,1180.32,1116.31,1180.32,64.01,64.01,GREEN
03/25/20,1100.14,1146.81,1075.85,1110.37,70.96,10.23,GREEN
03/24/20,1041.07,1096.54,1041.07,1096.54,55.47,55.47,GREEN
03/23/20,1014.08,1017.89,966.42,1002.40,51.47,-11.68,RED
03/20/20,1064.72,1087.72,1009.53,1013.89,78.19,-50.83,RED
03/19/20,988.71,1069.15,968.86,1058.75,100.29,70.04,GREEN
03/18/20,1057.65,1062.88,966.22,991.16,96.66,-66.49,RED
03/17/20,1043.87,1106.68,1011.96,1106.51,94.72,62.64,GREEN
03/16/20,1174.97,1209.45,1035.19,1037.42,174.26,-137.55,RED
03/13/20,1153.76,1210.13,1109.39,1210.13,100.74,56.37,GREEN
03/12/2020,1253.87,1253.87,1121.72,1122.93,132.15,-130.94,RED
03/11/2020,1349.24,1349.24,1249.28,1264.30,99.96,-84.94,RED
03/10/2020,1329.88,1351.48,1288.93,1350.90,62.55,21.02,GREEN
03/09/2020,1396.24,1396.24,1310.76,1313.44,85.48,-82.80,RED
03/06/2020,1476.63,1476.63,1417.27,1449.22,59.36,-27.41,RED
03/05/2020,1522.85,1522.85,1462.92,1478.82,59.93,-44.03,RED
03/04/2020,1500.15,1531.20,1494.58,1531.20,36.62,31.05,GREEN
03/03/2020,1518.52,1539.74,1472.74,1486.08,67.00,-32.44,RED
03/02/2020,1476.60,1518.53,1463.06,1518.49,55.47,41.89,GREEN
02/28/20,1496.83,1496.83,1448.21,1476.43,48.62,-20.40,RED
02/27/20,1545.25,1553.97,1495.89,1497.87,58.08,-47.38,RED
02/26/20,1572.27,1588.32,1551.39,1552.76,36.93,-19.51,RED
02/25/20,1630.87,1633.11,1568.97,1571.90,64.14,-58.97,RED
02/24/20,1676.65,1676.65,1620.14,1628.10,56.51,-48.55,RED
